model,code,description,remark
TG,TG,保护套管,示例：TG-PT3-200/350RN12-A11PN
套管形式,-PT3,法兰安装金属保护管,示例：TG-PT3-200/350RN12-A11PN
插入深度 (U),-%int%,单位mm,示例：TG-PT3-200/350RN12-A11PN
总长 (A),/%int%,单位mm,示例：TG-PT3-200/350RN12-A11PN
管材质,RN,参见表2材质规格代码表,示例：TG-PT3-200/350RN12-A11PN
外径 (d),-12,12mm,示例：TG-PT3-200/350RN12-A11PN
外径 (d),-16,16mm,示例：TG-PT3-200/350RN12-A11PN
外径 (d),-20,20mm,示例：TG-PT3-200/350RN12-A11PN
外径 (d),%int%,单独指定，单位mm,示例：TG-PT3-200/350RN12-A11PN
法兰标准,-A,ANSI,示例：TG-PT3-200/350RN12-A11PN
法兰标准,-D,DIN,示例：TG-PT3-200/350RN12-A11PN
法兰标准,-G,GB/T9123,示例：TG-PT3-200/350RN12-A11PN
法兰标准,-H,HG20592、HG20615,示例：TG-PT3-200/350RN12-A11PN
法兰标准,-Z,其它,示例：TG-PT3-200/350RN12-A11PN
法兰尺寸,1,DN25 (1"),示例：TG-PT3-200/350RN12-A11PN
法兰尺寸,2,DN40 (1-1/2"),示例：TG-PT3-200/350RN12-A11PN
法兰尺寸,3,DN50 (2"),示例：TG-PT3-200/350RN12-A11PN
法兰尺寸,Z,其它,示例：TG-PT3-200/350RN12-A11PN
法兰等级,1,PN2.0（150#）RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,2,PN5.0（300#）RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,3,PN1.0 RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,4,PN1.6 RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,5,PN2.5 RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,6,PN4.0 RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,7,PN6.3 RF,示例：TG-PT3-200/350RN12-A11PN
法兰等级,Z,其它,示例：TG-PT3-200/350RN12-A11PN
法兰材质,P,304SS,示例：TG-PT3-200/350RN12-A11PN
法兰材质,S,321SS,示例：TG-PT3-200/350RN12-A11PN
法兰材质,R,316SS,示例：TG-PT3-200/350RN12-A11PN
法兰材质,G,GH3030,示例：TG-PT3-200/350RN12-A11PN
法兰材质,Z,其它,示例：TG-PT3-200/350RN12-A11PN
附加规格代码,/A4,外保护套管材质报告,示例：TG-PT3-200/350RN12-A11PN
附加规格代码,/R1,外保护套管接液部分禁油处理,示例：TG-PT3-200/350RN12-A11PN
附加规格代码,/F2,外保护套管接液部分抛光处理,示例：TG-PT3-200/350RN12-A11PN
